mESC,pro-B,Myotube,Th-cell,Macrophage
,,,,NM_008898
,,,,NM_145399
,,,,NM_019540
,,,,NM_009890
,,,,NM_001164598
,,,,NM_145943
,,,,NM_001008702
,,,,NM_207176
,,,,NM_010634
,,,,NM_153159
,,,,NM_021451
,,,,NM_010295
,,,,NM_011990
,,,,NM_053180
,,,,NM_001177379
,,,,NM_026267
,,,,NM_010188
,,,,NM_175645
,,,,NM_001171007
,,,,NM_013626
,,,,NM_019980
,,,,NM_028943
,,,,NM_007421
,,,,NM_001168646
,,,,NM_011056
,,,,NM_001163753
,,,,NM_001141965
,,,,NM_013635
,,,,NM_011337
,,,,NM_001081143
,,,,NM_153596
,,,,NM_001170395
,,,,NM_017373
,,,,NM_007547
,,,,NM_001081177
,,,,NM_153510
,,,,NM_010508
,,,,NM_008881
,,,,NM_023066
,,,,NM_178665
,,,,NM_013928
,,,,NM_010233
,,,,NM_001113326
,,,,NM_181397
,,,,NM_172856
,,,,NM_013560
,,,,NM_199033
,,,,NM_001113423
,,,,NM_146040
,,,,NR_033190
,,,,NM_198301
,,,,NR_030439
,,,,NM_019873
,,,,NM_001004363
,,,,NM_029364
,,,,NM_023647
,,,,NM_001013779
,,,,NM_029332
,,,,NM_025626
,,,,NM_008176
,,,,NR_036456
,,,,NM_008551
,,,,NM_148932
,,,,NM_145398
,,,,NM_001111096
,,,,NM_178682
,,,,NM_011626
,,,,NM_007858
,,,,NR_033469
,,,,NM_001145858
,,,,NM_023668
,,,,NM_139065
,,,,NM_144821
,,,,NR_015587
,,,,NM_053202
,,,,NM_026179
,,,,NM_023735
,,,,NM_025424
,,,,NM_175127
,,,,NM_029619
,,,,NM_007392
,,,,NM_133219
,,,,NM_138956
,,,,NM_001134384
,,,,NM_016796
,,,,NM_183103
,,,,NM_030220
,,,,NM_198644
,,,,NM_177715
,,,,NM_019835
,,,,NM_023913
,,,,NM_007502
